make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Mitsubishi,Outlander PHEV,25,Automatic,1,AWD,2,4,Sm SUV,N,Natural,Regular,Plug-in Hybrid,Y
Mercedes-Benz,A220 4matic,27.5,Automatic,7,4WD,2,4,Subcompact,Y,Turbo,Premium,None,Y
Lexus,IS 350,22.8206,Automatic,8,RWD,3.5,6,Compact,Y,Natural,Premium,None,N
Volkswagen,GTI,27.0448,Manual,6,FWD,2,4,Compact,Y,Turbo,Regular,None,N
Lexus,GS 350,22.8206,Automatic,8,RWD,3.5,6,Midsize,Y,Natural,Premium,None,N
Lexus,GS 350 F Sport,21.8089,Automatic,8,RWD,3.5,6,Midsize,Y,Natural,Premium,None,N
Ford,Shelby GT500 Mustang,14.0853,Manual,7,RWD,5.2,8,Subcompact,N,Super,Premium,None,N
Honda,Civic 2Dr,32.7794,CVT,7,FWD,1.5,4,Compact,Y,Turbo,Regular,None,N
Honda,Civic 2Dr,34.5202,CVT,1,FWD,1.5,4,Compact,Y,Turbo,Regular,None,N
Honda,Civic 2Dr,33.3494,CVT,1,FWD,2,4,Compact,N,Natural,Regular,None,N
Alfa Romeo,Giulia AWD,25.5433,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Acura,ILX,27.9249,Manual,8,FWD,2.4,4,Compact,Y,Natural,Premium,None,N
Ford,F150 Pickup 4WD FFV,17.5403,Automatic,10,PT 4WD,5,8,Std Pickup Truck,Y,Natural,Regular,FFV,Y
Ford,F150 RAPTOR 4WD,16.4075,Automatic,10,PT 4WD,3.5,6,Std Pickup Truck,Y,Turbo,Regular,None,Y
Ford,F150 Pickup 4WD,20.3813,Automatic,10,PT 4WD,2.7,6,Std Pickup Truck,Y,Turbo,Regular,None,Y
Toyota,RAV4,29.8882,Automatic,8,FWD,2.5,4,Sm SUV,Y,Natural,Regular,None,N
Toyota,RAV4,30.3957,Automatic,8,FWD,2.5,4,Sm SUV,Y,Natural,Regular,None,Y
Toyota,RAV4 AWD,28.0938,Automatic,8,AWD,2.5,4,Sm SUV,Y,Natural,Regular,None,N
Honda,HR-V FWD,30.25,CVT,7,FWD,1.8,4,Sm St Wagon,N,Natural,Regular,None,N
Mercedes-Benz,AMG GLC63 S 4matic Plus Coupe,18.1716,Automatic,9,4WD,4,8,Sm SUV,Y,Turbo,Premium,None,Y
Audi,S5,22.5073,Automatic,8,AWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Audi,S4,22.5073,Automatic,8,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG C63 S,20.9747,Automatic,9,RWD,4,8,Compact,Y,Turbo,Premium,None,Y
Mitsubishi,Mirage,38.6074,CVT,1,FWD,1.2,3,Compact,N,Natural,Regular,None,N
Mitsubishi,Mirage G4,35,Manual,5,FWD,1.2,3,Compact,N,Natural,Regular,None,N
Mitsubishi,Mirage G4,37.3939,CVT,1,FWD,1.2,3,Compact,N,Natural,Regular,None,N
Audi,S8,16.2313,Automatic,8,AWD,4,8,Large,Y,Turbo,Premium,Hybrid,Y
Cadillac,CT5,26.1491,Automatic,10,RWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Cadillac,CT5 AWD,24.7046,Automatic,10,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG E63 S 4matic Plus,17.5069,Automatic,9,4WD,4,8,Midsize,Y,Turbo,Premium,None,Y
Hyundai,Sonata,30.5776,Automatic,8,FWD,2.5,4,Large,Y,Natural,Regular,None,N
Hyundai,Sonata,30.586,Automatic,8,FWD,1.6,4,Large,Y,Turbo,Regular,None,N
Lincoln,Continental  FWD,20.1608,Automatic,6,FWD,3.7,6,Large,N,Natural,Regular,None,N
Mercedes-Benz,AMG E63 S 4matic Plus (wagon),18.5852,Automatic,9,4WD,4,8,Mid St Wagon,Y,Turbo,Premium,None,Y
Lincoln,Navigator 2WD,18.5915,Automatic,10,RWD,3.5,6,Std SUV,Y,Turbo,Regular,None,Y
Subaru,Crosstrek Hybrid AWD,35.1,CVT,1,AWD,2,4,Sm SUV,Y,Natural,Regular,Plug-in Hybrid,Y
Audi,A6 Allroad,22.2239,Manual,7,AWD,3,6,Midsize,Y,Turbo,Premium,Hybrid,Y
Infiniti,QX80 4WD,15.3391,Automatic,7,4WD,5.6,8,Std SUV,Y,Natural,Premium,None,N
Audi,RS3,22.5088,Manual,7,AWD,2.5,5,Subcompact,Y,Turbo,Premium,None,N
Mazda,6,26.4147,Automatic,6,FWD,2.5,4,Midsize,Y,Turbo,Regular,None,N
Kia,Niro FE,50.4101,Manual,6,FWD,1.6,4,Sm St Wagon,Y,Natural,Regular,Hybrid,Y
Kia,Niro Touring,43.175,Manual,6,FWD,1.6,4,Sm St Wagon,Y,Natural,Regular,Hybrid,Y
Audi,Q7,18.4822,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,Hybrid,Y
Audi,Q8,18.4822,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,Hybrid,Y
Lamborghini,Huracan Spyder 2WD,15.0057,Manual,7,RWD,5.2,10,Two Seater,Y,Natural,Premium,None,N
Lexus,RC 300,24.2954,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,N
Dodge,Challenger SRT Widebody,15.3673,Automatic,8,RWD,6.2,8,Midsize,N,Super,Premium,None,N
Dodge,Charger SRT Widebody,15.0483,Automatic,8,RWD,6.2,8,Large,N,Super,Premium,None,N
Dodge,Charger,22.7798,Automatic,8,RWD,3.6,6,Large,N,Natural,Regular,None,N
Dodge,Charger Widebody,17.7608,Automatic,8,RWD,6.4,8,Large,N,Natural,Premium,None,N
Nissan,Rogue Sport,28,CVT,8,FWD,2,4,Sm St Wagon,Y,Natural,Regular,None,N
Nissan,Rogue Sport AWD,27,CVT,8,AWD,2,4,Sm St Wagon,Y,Natural,Regular,None,N
Ford,Transit T150 Wagon 2WD FFV,16.6229,Automatic,10,RWD,3.5,6,Passenger Van,Y,Natural,Regular,FFV,N
Ford,Transit T150 Wagon 4WD FFV,15.8294,Automatic,10,AWD,3.5,6,Passenger Van,Y,Natural,Regular,FFV,N
Chevrolet,Blazer AWD,23.2617,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Mazda,CX-5 4WD,26.2462,Automatic,6,4WD,2.5,4,Sm SUV,Y,Natural,Regular,None,N
Porsche,Panamera 4 e-Hybrid ST,22.503,Manual,8,AWD,2.9,6,Large,Y,Turbo,Premium,Plug-in Hybrid,Y
Lincoln,Aviator PHEV AWD,22.8,Automatic,10,PT 4WD,3,6,Std SUV,Y,Turbo,Regular,Plug-in Hybrid,Y
Cadillac,CT6 AWD,17.0723,Automatic,10,AWD,4.2,8,Large,Y,Turbo,Premium,None,Y
